kinase,log2FC_iCCA_HCC,rna_p,hcc_tpm,icca_tpm,rna_fdr,chronos_HCC,chronos_iCCA,chronos_other,icca_selective,hcc_selective,dep_p_icca_vs_other,dep_p_hcc_vs_other,dep_diff_iCCA_minus_HCC,dep_p_icca_vs_hcc,iCCA_essential,HCC_essential,iCCA_selective_dep,HCC_selective_dep,rna_iCCA_up,rna_HCC_up,chcca_position,icca_over_hcc_dep,hcc_over_icca_dep,rna_concordant_iCCA,rna_concordant_HCC
IL21,0.03695617714399951,0.48986994108272497,0.05089833975391136,0.08785451689791086,0.5218111057369246,0.07917165396044948,0.08002519704078012,0.07077063538653204,0.00925456165424808,0.008401018573917438,0.5408248659924559,0.3359060403706766,0.0008535430803306432,0.7613519194381367,False,False,False,False,False,False,,False,False,False,False
IL22,0.032449386953714444,0.07701022460591944,0.009345294127568259,0.0417946810812827,0.08923235294927463,0.0103506381478865,0.030803382498332,0.03236167821872781,-0.0015582957203958102,-0.02201104007084131,0.9042851487792817,0.4666723302722503,0.0204527443504455,0.5846049720999955,False,False,False,False,False,False,,False,False,False,False
IL24,0.3190033784339464,2.3572223544028744e-05,0.1390899831585658,0.4580933615925122,3.6901488470253725e-05,0.03652629846626225,-0.008903481154311594,-0.013600375550654999,0.004696894396343404,0.05012667401691725,0.7255296234060007,0.06957874175300705,-0.045429779620573846,0.2796111795723729,False,False,False,False,False,False,,False,False,False,False
IL25,-0.006278083525582519,0.06550265756668926,0.020971745684906878,0.014693662159324359,0.07659772146352749,0.05217849698850301,0.05116216469913842,0.06555947519688005,-0.014397310497741629,-0.013380978208377033,0.2544387040337275,0.3081717978984573,-0.0010163322893645965,0.6530819591087469,False,False,False,False,False,False,,False,False,False,False
IL3,-0.02537175735288027,0.0014916875218165032,0.07928904897697966,0.053917291624099396,0.0019913304296094096,-0.052029953147055684,-0.03925337645621158,-0.05799782616194985,0.01874444970573827,0.005967873014894168,0.5438159341186088,0.5311650404668161,0.012776576690844102,0.8363847042199137,False,False,False,False,False,False,,False,False,False,False
IL33,0.024126128844779604,0.9219753351947364,2.522437751723648,2.5465638805684274,0.9304338245084496,0.0965046958413297,0.11908944548190864,0.13246256387461927,-0.013373118392710631,-0.03595786803328957,0.4735814912550781,0.058681793296612626,0.02258474964057894,0.3622332716763398,False,False,False,False,False,False,,False,False,False,False
IL34,1.372439632546787,2.0072847699556997e-07,2.2899882344806035,3.6624278670273904,3.806919391295293e-07,-0.047697466611185325,0.017551887511545086,-0.03640560833103996,0.053957495842585045,-0.011291858280145367,0.04816572265373174,0.348996847463686,0.06524935412273042,0.029665006090413847,False,False,False,False,True,False,-0.41272762910437116,False,False,True,False
IL4,0.37160552987803985,3.8914705556806436e-17,0.07207048053325218,0.443676010411292,5.945302237845427e-16,0.006961289018360916,0.04184252511985659,0.0016353779236876215,0.04020714719616897,0.005325911094673294,0.06722229082598688,0.4739790662994714,0.03488123610149567,0.6014097841502288,False,False,False,False,False,False,,False,False,False,False
IL5,0.013229299601638739,0.5501414570468914,0.0812563392197181,0.09448563882135684,0.5818803872611352,-0.03947663478253298,-0.03083757824284619,-0.04441242625932495,0.01357484801647876,0.004935791476791969,0.37133463313781856,0.559237934193013,0.008639056539686791,0.9129374655882153,False,False,False,False,False,False,,False,False,False,False
IL6,0.9600125518602491,8.216309519991908e-05,0.5014448342517148,1.461457386111964,0.00012104384560702364,-0.013126863812145713,0.037793785037193287,0.00975572062222644,0.028038064414966847,-0.022882584434372154,0.1256074552368885,0.32119937522216735,0.050920648849339,0.12287293614887453,False,False,False,False,False,False,,False,False,True,False
IL6R,-1.411885998988315,3.3920089642431653e-09,5.397704465995405,3.98581846700709,7.645921845630086e-09,-0.08661366639882229,-0.07422967497088642,-0.0891755810999882,0.01494590612910178,0.0025619147011659155,0.5171962546059012,0.9770878866495767,0.012383991427935864,0.7429098228423854,False,False,False,False,False,True,-0.5,False,False,False,True
IL6ST,0.5225070535766125,0.0003146883362962279,5.609817286539439,6.132324340116051,0.00044190277011810724,-0.04551156202801986,-0.06075216187162713,-0.05841410257067039,-0.002338059300956742,0.012902540542650526,0.8141937198255266,0.7355833506256757,-0.015240599843607268,0.6530819591087469,False,False,False,False,False,False,,False,False,True,False
IL7,0.22598719247808075,0.07210799705270599,1.5991832226682323,1.825170415146313,0.08390563831943927,0.07224326953414317,0.07128498964840198,0.07633513077974505,-0.005050141131343069,-0.004091861245601874,0.9925405327278597,0.9686641940754233,-0.000958279885741195,0.9709277605839084,False,False,False,False,False,False,,False,False,False,False
IL9,-0.0009189077569855576,0.8423649949139695,0.01992805054852241,0.019009142791536853,0.8569064374895498,0.027313621005225303,0.0386775925107587,0.033424663102596786,0.005252929408161917,-0.006111042097371483,0.8686417602937011,0.6907858525360673,0.0113639715055334,0.6706993838713493,False,False,False,False,False,False,,False,False,False,False
ILK,0.44043111949130764,4.137462312247022e-15,0.18049009700223453,0.6209212164935421,2.994216147020871e-14,-0.4781151120455283,-0.5937261156872975,-0.3595843737504669,-0.23414174193683057,-0.11853073829506139,0.000485669502684446,0.06988387289705754,-0.11561100364176918,0.3622332716763398,True,True,True,False,False,False,,False,False,False,False
IMPACT,0.8891041197892253,3.854724779327061e-09,3.516762642008806,4.405866761798031,8.61828710825156e-09,0.037603244896848916,0.08033428321622817,0.07786300247311755,0.002471280743110621,-0.04025975757626863,0.7972238664969312,0.24163147699835053,0.04273103831937925,0.2689474626484927,False,False,False,False,False,False,,False,False,True,False
INCENP,0.9910907013347505,5.642537726006242e-09,2.595786055056221,3.5868767563909714,1.2347728445504375e-08,-1.2526941537881302,-1.181743038751682,-1.0927995330601405,-0.08894350569154152,-0.15989462072798966,0.0909764200374635,0.005932115778678308,0.07095111503644813,0.22910188406505871,True,True,False,False,False,False,,False,False,True,False
ING2,0.38227569483815493,0.0005054916726273269,2.7606471488347597,3.1429228436729146,0.0007003033247985638,-0.01594362416416938,0.033345357239484834,0.030714988289446334,0.0026303689500385002,-0.046658612453615717,0.6008125611571427,0.287346220600747,0.04928898140365422,0.2905587212927452,False,False,False,False,False,False,,False,False,False,False
INPP4B,1.3167292140396163,6.197144889154083e-12,0.7110694263240114,2.0277986403636277,2.143666471091035e-11,0.05787318507948509,0.10483212183997187,0.06378800866618187,0.04104411317379,-0.005914823586696774,0.028154574901901003,0.6095693830827476,0.04695893676048678,0.03153638005609862,False,False,False,False,True,False,0.8548814652566212,False,False,True,False
INS,0.30262431723168576,0.3571776229098378,0.02649497291160732,0.32911929014329305,0.38649172500879136,-0.18391481697950254,-0.26834658032883196,-0.2216924035510519,-0.046654176777780054,0.037777586571549365,0.19133834283996554,0.2855553790775266,-0.08443176334932942,0.07815473480927702,False,False,False,False,False,False,,False,False,False,False
INSR,0.1986019918747708,0.07294710615932963,5.179432588507041,5.3780345803818115,0.08482221646433678,-0.16028423261692226,-0.1330745548566158,-0.1352191231079273,0.0021445682513115127,-0.02506510950899496,0.8966285101812435,0.22989513838800157,0.027209677760306472,0.4297406770499599,False,False,False,False,False,False,,False,False,False,False
IQGAP1,2.6545931775993226,3.7697463787991506e-18,3.11483754833772,5.769430725937043,9.550126228045997e-17,-0.007536841838846186,-0.03442277697813487,-0.036895131586927844,0.0024723546087929774,0.02935828974808166,0.8782931425545989,0.4723499334242979,-0.02688593513928868,0.5846049720999955,False,False,False,False,True,False,-0.33609232320036,False,False,True,False
IRAK1,1.038214102300044,1.2907461608081087e-10,6.240042253724043,7.278256356024087,3.653055172098421e-10,0.031188496241017966,0.05967752879636954,0.013079325029599931,0.04659820376676961,0.018109171211418036,0.07755318330206883,0.5880120569821764,0.028489032555351575,0.41568392810112,False,False,False,False,True,False,-0.5,False,False,True,False
